year,name
2003,5
2004,17
2005,62
2006,312
2007,504
2008,769
2009,454
2010,1069
2011,1727
2012,2278
2013,2858
2014,2871
2015,3319
2016,4213
2017,5727
2018,7398
2019,7331
2020,7650
2021,10747
2022,8686
2023,6222
2024,4771
